,cluster,label,title,year
0,1,tragedy,titusandronicus,1591
1,1,comedy,allswellthatendswell,1604
2,0,comedy,twelfthnight,1601
3,1,tragedy,macbeth,1606
4,1,tragedy,hamlet,1599
5,1,tragedy,antonyandcleopatra,1606
6,1,tragedy,kinglear,1605
7,1,tragedy,juliuscaesar,1599
8,1,comedy,tempest,1610
9,0,comedy,merchantofvenice,1596
10,0,comedy,loveslabourslost,1594
11,1,comedy,winterstale,1609
12,1,tragedy,timonofathens,1605
13,0,comedy,muchadoaboutnothing,1598
14,1,tragedy,coriolanus,1607
15,1,comedy,troilusandcressida,1600
16,1,comedy,measureforemeasure,1603
17,1,comedy,cymbeline,1610
18,0,comedy,tamingoftheshrew,1590
19,0,comedy,asyoulikeit,1599
20,0,comedy,merrywivesofwindsor,1600
21,0,comedy,midsummersnightsdream,1595
22,1,tragedy,othello,1604
23,0,tragedy,romeoandjuliet,1592
24,0,comedy,comedyoferrors,1594
25,0,comedy,twogentlemenofverona,1589
26,1,comedy,periclesprinceoftyre,1607
